,,
Address,My Label,How do I know?
0x3DdfA8eC3052539b6C9549F12cEA2C295cfF5296,JustinSun,etherscan
0x532eEdEAbC0CC70F8d371ac76020E1ad9b02cEAb,ZeePrimeCap,"@datanerdonchain
"
0x287e2c76Aab4720786076c3DEedD7Dd386092050,Roger lim@NGC_Venture,@datanerdonchain
0xef8Ee41B5F1A62f3aE191f4004Cbaeee686DFaa3,"Smart money YFI,BLUR",@datanerdonchain
0x3471884f189FD7C63fe8C83601D28cE0Cc1B3853,Smart money BLUR,@datanerdonchain
0xa66f8Db3B8F1e4c79e52ac89Fec052811F4dbd19,Arca (Arbitrum),@datanerdonchain
0x8e6545F9d66d668640c53b8E05D85ACf5f131d77,Smart money LDO ,@datanerdonchain
0xCA9f1f44b25FEc3c573bFC5A69583021592Ee126,Smart money ETH,@datanerdonchain
0xE11970f2F3dE9d637Fb786f2d869F8FeA44195AC,Amber Group,@datanerdonchain
0xD1669Ac6044269b59Fa12c5822439F609Ca54F41,Coin List 1,Etherscan
0x500A746c9a44f68Fe6AA86a92e7B3AF4F322Ae66,Voyager 1,Etherscan
0xa8b087fC770a634dd2d7Fe71eb1FA898AF3C7a49,Arca,@BitcoinEmber
0x23A5eFe19Aa966388E132077d733672cf5798C03,Arca,Etherscan
0xF2d15C0A89428C9251d71A0E29b39FF1e86bce25,Blur airdrop,Etherscan
0x05E793cE0C6027323Ac150F6d45C2344d28B6019,A16z,Etherscan
0xd376a8e64d2edd57366d2e262bb54a0faca4762d,Smart dex trader,Nansen
0xa7442537e5237d4ef6fa5b48bc3981528d2840dd,Smart dex trader,Nansen
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,Smart dex trader,Nansen
0xf330478fc27dc89bf1405cbc398fdc67dde4d936,Smart dex trader,Nansen
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Paradigm,Nansen
0xca8d6f69d8f32516a109df68b623452cc9f5e64d,Paradigm,Nansen
0xd52055a39a3d2f7505c739f981f296ea31b50191,Eth Millinaire(paradigm related),Nansen
0x2baba0cba8241fda56871589835e0b05ec64ca41,Smart dex trader,Nansen
0x280027dd00ee0050d3f9d168efd6b40090009246,Wintermute Trading fund,Nansen
0xd249942f6d417cbfdcb792b1229353b66c790726,Smart dex trader,Nansen
0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,MEV Bot,Etherscan
0x58f5f0684c381fcfc203d77b2bba468ebb29b098,Block tower,Nansen
0xcf1ca1032e32f305c5d06f662b4d6d463c8d4e43,"ETH Whale, smart money",@lookonchain
0xF0A0E9C7CDab0335fe65b8EBa5a72c8694961fc9,APE Whale,@lookonchain
0x5754284f345afc66a98fbB0a0Afe71e0F007B949,Tether Treasury,Etherscan
0xB93994e2efCAed3E88C538F68eC6A2587C3E2ebF,Dragonfly,@lookonchain
0xF30026fe8a2C0D01b70B1949Ceaf2e09EFd8B4A5,Three Arrow 2,Etherscan
0xe5D0Ef77AED07C302634dC370537126A2CD26590,Almeda Research,Etherscan
0xF05e2A70346560d3228c7002194Bb7C5dC8Fe100,Jump trading Binance deposit,Etherscan
0x7D68a49754c55f1fB410F535f2b82a16f64481b6,Dragonfly,@lookonchain
0x67E3ea119E141406c37e2CA783b749Fe1437673f,Robot Venture,@lookonchain
0x09F82Ccd6baE2AeBe46bA7dd2cf08d87355ac430,Paradigm,@lookonchain
0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,Defiance Capital,@lookonchain
0xAAc22b3C17D3b31C6d0D7a9B6dD7a0A797c40339,Matic whale,cherry-pick.xyz
0xd007058e9b58E74C33c6bF6fbCd38BaAB813cBB6,Wangchun @ stakefish+f2pool,Nansen
0x3801afef98b7d5f162f8f16602ede37814b55df3,Smart money,Cherrypick.xyz
0xf3fc178157fb3c87548baa86f9d24ba38e649b58,Arb Dao Treasury 1,Dune
0xc24e24383120669512a336fb3b5b19afb4cc2a56,Arb Dao Treasury 2,Dune
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,Binance arb,Dune
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,KuCoin (arb),Dune
0x03ae1a796dfe0400439211133d065bda774b9d3e,OkX arb,Dune
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Etherscan
0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,Metamask(arb) swap wallet,Self
0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,GMX smart money,@lookonchain